iter	Passed	Remaining
821	1372	297
822	1374	295
823	1376	293
824	1377	292
825	1378	290
826	1379	288
827	1381	286
828	1383	285
829	1384	283
830	1386	281
831	1387	280
832	1389	278
833	1390	276
834	1392	275
835	1393	273
836	1394	271
837	1396	269
838	1397	268
839	1398	266
840	1399	264
841	1401	262
842	1404	261
843	1406	259
844	1407	258
845	1409	256
846	1410	254
847	1412	253
848	1413	251
849	1414	249
850	1416	247
851	1417	246
852	1419	244
853	1420	242
854	1421	241
855	1422	239
856	1423	237
857	1425	235
858	1426	234
859	1427	232
860	1428	230
861	1430	228
862	1431	227
863	1432	225
864	1434	223
865	1435	222
866	1436	220
867	1437	218
868	1438	216
869	1440	215
870	1441	213
871	1442	211
872	1443	210
873	1444	208
874	1445	206
875	1447	204
876	1448	203
877	1449	201
878	1451	199
879	1452	198
880	1453	196
881	1455	194
882	1456	193
883	1458	191
884	1459	189
885	1461	188
886	1462	186
887	1465	184
888	1466	183
889	1468	181
890	1471	179
891	1473	178
892	1474	176
893	1476	175
894	1477	173
895	1480	171
896	1482	170
897	1483	168
898	1485	166
899	1486	165
900	1488	163
901	1489	161
902	1491	160
903	1494	158
904	1496	157
905	1498	155
906	1499	153
907	1501	152
908	1502	150
909	1504	148
910	1505	147
911	1507	145
912	1509	143
913	1510	142
914	1512	140
915	1513	138
916	1515	137
917	1516	135
918	1517	133
919	1518	132
920	1520	130
921	1521	128
922	1522	127
923	1525	125
924	1527	123
925	1529	122
926	1530	120
927	1531	118
928	1533	117
929	1534	115
930	1536	113
931	1537	112
932	1540	110
933	1542	108
934	1543	107
935	1544	105
936	1546	103
937	1547	102
938	1548	100
939	1549	98
940	1551	97
941	1552	95
942	1554	93
943	1556	92
944	1557	90
945	1559	88
946	1560	87
947	1561	85
948	1562	83
949	1564	82
950	1566	80
951	1567	79
952	1569	77
953	1571	75
954	1573	74
955	1574	72
956	1576	70
957	1577	69
958	1578	67
959	1580	65
960	1582	64
961	1584	62
962	1586	60
963	1587	59
964	1588	57
965	1590	55
966	1591	54
967	1592	52
968	1594	50
969	1595	49
970	1597	47
971	1600	46
972	1602	44
973	1603	42
974	1604	41
975	1606	39
976	1607	37
977	1608	36
978	1610	34
979	1611	32
980	1612	31
981	1615	29
982	1617	27
983	1618	26
984	1620	24
985	1621	23
986	1622	21
987	1624	19
988	1625	18
989	1627	16
990	1631	14
991	1633	13
992	1634	11
993	1635	9
994	1637	8
995	1638	6
996	1640	4
997	1642	3
998	1644	1
999	1645	0
